LGA_CODE16,CHD,Cereb,COPD,Heart,CA,AC
10050,57.927406,43.091965,31.038332,18.355185,12.282749,611.35013
10130,64.724678,42.039169,24.877596,16.395278,NA,560.41035
10250,56.371613,40.963952,19.559333,10.678369,9.4881262,518.49406
10300,NA,NA,NA,NA,NA,630.65579
10470,54.892999,40.528713,32.428375,14.316691,9.3445649,588.06196
10550,65.62465,38.056928,30.100441,11.703801,9.0219014,605.11502
10600,45.168053,29.219107,38.633605,NA,NA,593.09085
10650,68.843301,36.917574,NA,29.267616,NA,562.95756
10750,66.991656,33.936122,29.271099,10.791298,NA,570.15416
10800,71.84215,NA,NA,NA,NA,592.73965
10850,50.571252,NA,44.748942,NA,NA,572.62578
10900,72.771157,39.232818,25.693736,10.325283,7.5371699,546.82929
10950,NA,NA,NA,NA,NA,802.31452
11100,NA,NA,NA,NA,NA,NA
11150,NA,NA,NA,NA,NA,878.99878
11200,NA,NA,NA,NA,NA,874.07662
11250,69.864754,38.168924,42.259552,NA,10.771041,730.07766
11300,43.459029,34.990717,11.767485,7.6462618,NA,433.79493
11350,50.666563,36.928798,27.279215,10.080368,NA,535.60081
11400,61.768975,26.236406,39.607834,NA,NA,544.43994
11450,59.603631,38.444945,25.610385,14.137426,8.8838939,555.83905
11500,78.123114,33.307311,35.806964,14.06226,10.701567,620.4701
11520,36.51545,27.387545,13.076746,8.0238791,4.9465107,396.67836
11570,51.803339,29.301484,20.594469,11.788059,7.1087364,493.2103
11600,NA,NA,NA,NA,NA,577.26674
11650,59.694875,37.049068,35.460497,12.087309,8.142712,589.0235
11700,NA,NA,NA,NA,NA,659.62733
11720,86.518743,34.441135,35.505188,14.02667,11.725197,698.02855
11730,78.076889,42.826848,31.805373,12.043329,NA,590.50118
11750,NA,NA,NA,NA,NA,663.75941
11800,53.77318,33.38253,28.42039,14.352838,7.560712,540.07444
12000,NA,NA,NA,NA,NA,545.11276
12150,113.07926,NA,84.132969,NA,NA,788.68138
12350,76.102672,43.560184,57.822149,NA,NA,723.32543
12380,63.742633,32.341165,20.514729,10.196199,7.1356053,529.58434
12700,56.515621,NA,NA,NA,NA,587.23938
12730,72.935362,33.299618,33.41081,18.127294,NA,637.38099
12750,67.092651,39.470386,33.26697,9.441677,9.5707826,617.41011
12850,55.727209,38.810952,19.334188,9.9380964,NA,511.00343
12870,66.683844,28.162056,30.015333,NA,NA,624.34722
12900,69.512405,47.875302,36.924615,NA,NA,595.49981
12930,46.236626,29.863921,14.529499,13.724262,5.8531847,433.20861
12950,143.31562,NA,NA,NA,NA,736.52147
13010,111.60048,36.709488,39.596994,NA,NA,656.61616
13310,62.947541,38.340203,46.850597,11.236405,9.3590642,643.44998
13340,64.590847,36.869322,33.002666,NA,NA,591.0145
13450,51.241884,31.371369,35.245608,10.039541,10.12704,559.59927
13510,NA,NA,NA,NA,NA,NA
13550,93.761267,37.506162,43.853558,NA,NA,633.39018
13660,77.677422000000007,NA,NA,NA,NA,677.43588
13800,90.99062,31.440201,25.475452,9.9769435,10.929237,574.1663
13850,NA,NA,NA,NA,NA,768.60239
13910,65.631021,45.952415,49.419708,14.949589,NA,670.54438
14000,53.923,40.479041,13.774083,10.453912,7.0615073,470.05318
14100,68.989908,39.116205,16.748017,14.445996,NA,529.66362
14170,50.750023,32.018502,19.332496,8.328792,8.7551739,511.80029
14200,88.295558,34.005243,42.76214,16.655639999999998,NA,637.29328
14300,65.924517,NA,NA,NA,NA,573.64733
14350,64.463155,43.718176,34.61246,9.9542465,11.167549,682.80914
14400,40.002208,31.177081,16.846297,9.1307723,NA,445.56497
14500,37.254092,25.023731,7.098676,10.064775,6.1074136,341.71434
14550,66.594294,42.534446,33.097748,NA,NA,611.31761
14600,85.492433,NA,53.467737,NA,NA,732.05765
14650,63.570293,37.588364,25.602125,11.530287,7.1720064,582.67276
14700,36.453476,30.397964,9.8055782,13.244215,NA,392.82902
14750,77.093901,26.362352,31.142227,NA,NA,605.00188
14850,89.219931,52.863753,26.041081,9.197472,NA,597.9808
14870,56.455793,51.63713,41.942941,13.304151,13.394282,632.59033
14900,55.879477,27.390431,21.140606,10.470495,NA,520.64777
14920,57.294395,NA,37.269666,NA,NA,684.85568
14950,NA,NA,NA,NA,NA,530.65657
15050,57.592438,32.704736,27.524583,11.205105,NA,560.2611
15240,74.921975,36.000517,32.341596,15.749818,9.406428,613.13804
15270,68.478522,43.8395,34.523347,21.220469,NA,641.81584
15300,74.452365,45.70534,56.244442,NA,NA,716.1866
15350,37.65766,29.270687,9.2852271,10.52071,NA,364.23072
15520,72.509457,25.747425,27.345152,NA,NA,559.66039
15560,NA,NA,NA,NA,NA,568.12729
15650,75.914164,48.069482,32.342328,NA,NA,647.588
15700,NA,NA,NA,NA,NA,NA
15750,86.116075,36.14628,41.47968,35.691665,NA,713.34109
15800,48.039512,NA,NA,NA,NA,631.36256
15850,49.578874,NA,52.112432,NA,NA,600.12886
15900,77.454188,58.578067,27.442174,10.816167,9.5409095,648.03771
15950,30.205968,22.633426,7.6369338,7.5945078,8.6843641,341.04164
15990,47.271419,35.627827,14.479133,9.4876126,7.595806,442.84208
16100,68.358207,NA,NA,NA,NA,596.9678
16150,68.267767,35.460928,40.714626,12.476455,11.231119,651.08898
16200,67.438707,41.242054,37.262855,21.551037,NA,669.59993
16260,48.345338,27.948291,17.951319,8.7735948,NA,444.80188
16350,70.128666,35.022539,30.600142,14.614243,8.6749253,618.56094
16380,47.704123,34.616847,25.9011,8.316982,8.2777593,522.8854
16400,56.478214,31.141076,21.94762,10.955364,NA,550.06238
16490,64.972118,30.404942,29.858814,9.0153731,NA,523.40723
16550,46.068703,45.776768,18.056379,10.749662,6.1323122,493.5015
16610,72.48318,29.016269,24.134865,NA,NA,620.33926
16650,NA,NA,NA,NA,NA,NA
16700,46.889218,27.883263,13.344891,8.0157886,6.3135219,425.68799
16900,59.774183,29.543888,33.646287,11.836059,7.0855859,579.50154
16950,63.617784,43.94662,30.334836,16.737533,9.082299,593.81172
17000,68.133146,42.928272,38.067869,31.274205,NA,604.40004
17040,61.407498,36.161859,27.753481,17.549229,16.059456,569.61107
17080,61.998699,30.832911,36.207603,17.523528,NA,668.65331
17100,39.479969,39.14943,12.173173,NA,NA,393.01767
17150,40.14378,31.590679,16.247725,8.7316703,6.3372286,461.45823
17200,43.276119,23.158231,17.294938,6.400516,NA,434.79309
17310,70.854148,38.138907,31.205656,10.474789,7.8458691,603.42009
17350,51.578183,33.447992,45.193413,NA,NA,604.26491
17400,87.292696,55.626531,NA,NA,NA,688.1819
17420,46.893335,31.410713,9.4483832,8.9954053,6.4851996,414.20535
17550,65.035007,34.908009,22.813504,10.906443,7.3718521,565.95439
17620,64.849123,32.075599,24.013076,NA,NA,592.14698
17640,47.730254,NA,NA,NA,NA,480.97236
17650,NA,NA,NA,NA,NA,593.71685
17750,61.450581,29.055273,25.19487,9.5582481,8.1558408,580.14806
17850,NA,NA,NA,NA,NA,621.10479
17900,99.653071,NA,99.845675,NA,NA,887.24192
17950,104.37898,NA,NA,NA,NA,791.09152
18020,52.946567,41.258335,37.707205,41.261624,NA,656.07829
18050,45.582431,35.629375,14.167055,5.756917,4.9522678,414.98079
18100,60.907722,NA,61.494249,NA,NA,578.21561
18200,86.131675,NA,NA,NA,NA,611.63206
18230,NA,NA,NA,NA,NA,NA
18250,39.265612,28.138703,12.356976,8.886754,7.1933666,388.58026
18350,54.867079,38.204511,20.633121,10.012896,7.1901995,546.34943
18400,68.03732,34.199052,27.379989,12.199205,NA,562.09813
18450,61.579072,33.553123,25.601809,9.914956,7.6394638,549.76619
18500,32.457004,21.771958,6.3370809,8.0503905,4.0687349,348.27324
18710,49.397427,28.875738,24.14207,NA,NA,535.14156
19399,NA,NA,NA,NA,NA,628.02785
20110,70.696324,35.542629,26.068467,17.481164,NA,591.66432
20260,61.508568,26.87698,33.884554,NA,NA,587.95979
20570,65.824578,36.164727,32.858997,11.464395,9.4954143,598.10921
20660,53.359719,22.783388,19.402554,11.142225,8.0794329,466.19969
20740,64.093756,25.899435,23.10756,15.460859,9.6122389,546.4044
20830,59.868543,26.43627,20.151032,15.182403,NA,530.68211
20910,40.720018,35.217447,12.58156,11.925586,7.8548391,422.98962
21010,49.101629,34.330185,35.41626,13.086884,NA,614.33907
21110,43.67625,28.779598,9.7370753,12.644962,5.8604896,416.18912
21180,67.279746,27.900961,20.418082,14.126518,6.6095211,537.06341
21270,70.338216,27.88489,49.204746,27.770389,NA,631.68249
21370,63.567252,31.502628,32.372099,26.641628,8.9663319,589.19457
21450,60.797733,25.425859,25.315646,12.550136,7.0785109,510.3885
21610,54.386698,25.679202,24.61395,11.223218,NA,506.72122
21670,82.859121,40.179732,53.815803,17.591685,NA,729.34692
21750,73.333636,32.95484,28.867198,16.554212,NA,573.31094
21830,80.219078,32.955316,32.989765,17.243423,NA,639.48875
21890,60.884141,25.137309,20.268699,12.622263,6.9937802,508.53458
22110,60.52362,37.985717,29.315079,14.478122,9.0348287,581.42392
22170,61.351108,29.357362,29.180856,14.768941,7.934267,568.49531
22250,60.293803,21.457989,33.731665,NA,15.872227,588.24362
22310,56.008699,26.75703,13.584345,9.9216579,5.0021469,436.53538
22410,73.76787,45.543429,41.72969,12.77009,NA,591.63358
22490,70.883816,36.235977,NA,NA,NA,604.96446
22620,62.794033,31.822624,30.463878,16.919933,8.7351186,593.70284
22670,60.367753,31.721513,21.887977,13.180161,7.7644942,539.34233
22750,61.227712,35.142269,24.957587,11.114001,7.6794901,542.52589
22830,69.162502,32.481641,30.994651,11.315336,10.751161,593.11627
22910,53.636735,42.246414,24.83903,NA,NA,538.08786
22980,67.07311,32.802913,NA,NA,NA,651.02194
23110,57.098304,28.498393,21.726568,13.343838,7.2142376,504.15426
23190,63.63844,27.165442,29.4691,12.454399,NA,528.47081
23270,66.268024,30.379004,23.729318,13.748754,NA,511.72445
23350,57.627755,37.989819,34.51879,22.100261,NA,572.55462
23430,50.248702,28.523441,19.901896,10.069386,NA,457.39114
23670,56.98808,31.560431,21.24357,12.761001,7.4645141,499.12229
23810,79.872768,37.219299,40.703807,13.097611,8.5757121,681.59986
23940,77.394972,NA,35.198196,NA,NA,580.52879
24130,62.63492,29.853544,24.417018,14.602042,10.104856,549.72181
24210,44.317576,27.770154,10.190057,9.3916901,6.6770746,410.34013
24250,51.400505,NA,NA,NA,NA,528.12049
24330,82.077676,31.489097,28.182283,13.361508,9.9170124,599.42409
24410,57.763614,29.979988,20.615995,12.936275,7.1348136,520.24386
24600,50.297989,29.356509,13.184188,7.364958,6.1536293,457.40736
24650,65.381776,26.585924,26.269604,9.7121158,NA,525.329
24780,70.049586,29.03305,30.597427,12.046683,7.5832668,603.40222000000006
24850,64.345666,24.145547,26.723273,19.532806,NA,538.57974
24900,68.291361,36.268363,32.719908,16.16288,11.266353,621.6762
24970,52.631062,30.600822,13.94421,9.7835144,7.0718968,439.80248
25060,49.928857,25.6684,17.046214,8.2385383,5.4462939,430.31439
25150,58.124554,25.13249,27.321412,13.693289,NA,535.41047
25250,57.753635,28.667003,22.064565,11.423335,6.8799347,513.35159
25340,48.498915,28.555109,22.1866,10.041342,6.736781,480.56969
25430,58.244952,38.541639,23.13753,NA,NA,536.17662
25490,63.277529,41.147903,24.990952,NA,NA,553.50818
25620,44.170333,26.828956,31.682364,NA,NA,571.86473
25710,51.635188,28.45043,14.398749,11.583782,7.5229986,444.19617
25810,78.399999,33.131527,39.256825,18.060819,NA,618.47305
25900,57.312122,21.868544,23.721675,9.8383583,NA,473.85699
25990,65.382892,NA,NA,NA,NA,566.76176
26080,45.358543,NA,NA,NA,NA,456.3784
26170,62.085316,28.144014,23.573369,13.438996,9.4370648,530.68106
26260,61.76257,46.050928,33.629831,14.221417,NA,582.46005
26350,42.679948,29.652526,12.850316,12.8098,6.7305262,424.55486
26430,51.285924,30.9596,32.643907,19.551329,NA,559.64015
26490,50.273427,30.685452,18.148719,11.269349,NA,481.04617
26610,101.11292,34.755264,27.041109,14.382256,NA,615.34322
26670,60.941621,35.252492,36.31072,NA,NA,562.01871
26700,54.137252,35.067619,24.327756,9.6777012,8.4592945,546.81276
26730,66.616534,37.544547,25.6076,15.115173,7.0999907,550.08768
26810,78.286506,32.063007,30.156677,13.044002,13.32116,637.81548
26890,69.561731,NA,NA,NA,NA,618.47282
26980,41.019875999999996,26.26047,12.947251,9.4650087,5.2252322,410.41821
27070,52.068207,30.182178,22.894963,12.905587,7.5566492,519.32878
27170,65.291873,29.877381,32.539688,15.198297,NA,574.09402
27260,56.318986,30.017702,29.928967,11.90632,NA,539.44629
27350,53.454814,28.026851,17.442189,10.692639,7.0798028,472.53026
27450,49.590707,28.074424,23.786052,14.278939,5.9276865,483.40284
27630,60.526488,51.798322,NA,NA,NA,643.44492
29399,NA,NA,NA,NA,NA,542.12252
30250,NA,NA,NA,NA,NA,NA
30300,88.252729,NA,NA,NA,NA,666.40681
30370,71.038037,30.597054,35.745761,NA,NA,565.0453
30410,NA,NA,NA,NA,NA,602.50873
30450,NA,NA,NA,NA,NA,NA
30760,NA,NA,NA,NA,NA,602.50873
30900,NA,NA,NA,NA,NA,NA
31000,63.090102,34.640007,18.795586,5.684586,5.9664966,494.18856
31750,NA,NA,NA,NA,NA,NA
31820,62.077243,30.981758,27.586694,NA,8.3980703,584.19668
31900,71.447355,40.647192,25.402966,NA,NA,579.98719
31950,NA,NA,NA,NA,NA,NA
32080,51.222917,35.033679,32.092288,9.9621504,7.1337439,589.51688
32250,NA,NA,NA,NA,NA,917.58154
32260,68.8362,40.330473,32.401901,NA,NA,606.55973
32270,72.521082,34.672802,43.910855,NA,NA,572.23749
32310,98.560827,35.328796,39.359289,NA,NA,670.30575
32330,NA,NA,NA,NA,NA,801.23772
32450,NA,NA,NA,NA,NA,789.54637
32500,NA,NA,NA,NA,NA,745.63286
32600,NA,NA,NA,NA,NA,NA
32750,NA,NA,NA,NA,NA,NA
32770,NA,NA,NA,NA,NA,NA
32810,71.394812,34.416917,NA,NA,NA,587.11643
33100,NA,NA,NA,NA,NA,NA
33200,NA,NA,NA,NA,NA,653.30559
