SA4_CODE16,CHD,Cereb,COPD,Heart,CA,AC
101,63.27038,36.543389,33.868661,11.556989,10.405954,587.91562
102,59.694875,37.049068,35.460497,12.087309,8.142712,589.0235
103,64.808433,39.714986,39.746361,15.273129,9.7574225,626.82673
104,62.622881,36.914424,30.674939,12.792627,7.2687747,563.57054
105,75.108765,36.494365,48.16711,16.048207,8.2472723,691.25056
106,68.432899,33.114299,27.641709,14.153811,6.9287208,588.97383
107,59.227499,32.603902,26.576196,10.294395,7.5350128,546.59915
108,62.802498,37.312673,31.439874,11.450612,9.0176868,592.98614
109,65.542073,36.769016,30.203878,17.51555,9.4644689,604.85627
110,76.777423,37.653386,35.277976,16.20647,9.5068483,627.07153
111,69.087422,45.813906,26.215146,11.256277,8.1197581,608.51243
112,65.872999,38.156817,23.538568,10.200475,7.565595,563.31449
113,58.507553,29.198631,30.869723,11.782233,9.5166307,590.95242
114,60.799698,42.049556,27.199187,14.5897,8.4768208,578.18255
115,54.157105,38.415821,9.9594403,9.624942,8.2316148,456.32082
116,66.803689,33.826326,29.171301,10.7802,NA,569.19056
117,48.730596,26.533482,18.392812,7.4007821,NA,466.09025
118,42.440248,37.025486,14.063255,8.8165234,5.3506453,436.57784
119,50.49172,30.882422,18.20424,12.693132,6.7615206,479.30135
120,42.491653,31.525363,15.50646,7.6347466,6.3224763,447.1808
121,38.830141,27.340873,10.095579,10.079431,6.4850426,376.73526
122,47.271419,35.627827,14.479133,9.4876126,7.595806,442.84208
123,73.188809,35.444032,32.09953,13.736789,9.6980316,603.08886
124,77.047828,36.746799,29.719387,12.842181,8.4696534,600.31195
125,57.332616,30.500906,20.372231,9.7868976,6.4341321,504.17152
126,47.275992,28.55203,12.690705,8.4097879,6.2164798,411.5197
127,54.343265,33.87255,19.510039,10.040474,NA,502.58363
128,40.110695,31.570059,16.233329,8.7205416,6.3321382,461.0459
201,65.591418,35.968616,34.134276,12.318902,9.2729351,595.30398
202,64.690923,32.699816,29.459717,15.872368,9.3635648,589.48722
203,60.191342,34.38662,23.568897,11.037376,7.6099389,535.23096
204,57.754309,32.324504,29.966703,15.600442,7.3913292,565.88527
205,68.197142,32.160515,29.023615,13.942015,9.1918766,592.1026
206,52.724965,26.454168,17.489116,10.064745,6.312448,459.46922
207,42.882167,27.44116,10.626389,10.587386,5.9498797,406.35337
208,48.772102,31.072881,15.552748,11.199054,6.1670476,441.96218
209,54.221751,25.753471,20.493049,12.130478,7.4296412,490.53364
210,59.361153,28.051727,21.318038,11.243622,6.0819474,491.90068
211,52.622811,29.588387,20.172779,12.655119,6.561241,488.50952
212,55.654021,28.514427,20.017582,11.156994,6.595506,489.86497
213,64.640989,28.78364,24.489537,13.036795,7.4355799,540.12607
214,53.373657,29.026455,24.671632,11.674338,7.1836997,515.49754
215,71.411444,30.60503,31.381674,14.467359,8.4549246,600.36482
216,67.204665,33.262997,31.894289,17.482607,10.309601,599.67248
217,69.409693,38.987441,30.910208,14.98472,8.5087421,577.28218
301,69.310237,36.675799,20.463697,NA,7.7354854,517.39323
302,59.58915,38.630201,21.216629,5.3713168,6.1386148,515.71371
303,72.443914,32.644337,17.607476,5.9911348,5.5108316,502.46476
304,52.191193,38.616754,14.748361,5.9333193,6.7693197,469.11537
305,56.409497,28.249576,18.569709,5.3673934,NA,467.1047
306,57.560903,34.865528,29.973418,8.5362407,7.3508752,590.6577
307,80.512229,36.057806,33.06646,10.348415,8.888936,594.95072
308,70.932684,35.264031,34.302543,8.1893336,9.1487227,593.52536
309,56.125692,30.655189,20.321137,7.4294216,5.8925645,489.12546
310,70.088282,37.85795,30.748412,9.2715685,NA,562.47248
311,77.817034,34.153894,30.780991,9.9384559,NA,588.97368
312,76.695403,33.807135,29.361297,NA,NA,572.94977
313,66.120991,33.729264,33.314606,7.2804102,6.3252953,594.22425
314,52.901216,34.557014,23.161154,6.7569611,NA,494.96009
315,94.86907,37.89879,45.404231,11.955564,NA,726.00279
316,52.764386,29.482081,19.97629,5.6285634,7.3926193,473.93299
317,60.595552,37.300195,25.61989,10.425792,8.9808683,530.42346
318,77.788363,36.164934,28.411866,8.4975422,NA,603.71241
319,71.778935,35.887427,30.80564,8.0583988,7.6763829,599.46211
401,53.582563,30.730285,17.267716,9.5905639,5.7501212,477.50162
402,57.704646,29.389831,30.796717,8.3310259,NA,580.96671
403,51.857743,27.346757,21.144526,8.8098189,NA,498.13447
404,63.426033,33.801133,20.529196,8.5761372,7.5604807,560.05987
405,71.770123,34.581001,26.893712,12.020826,9.1330823,591.69226
406,67.14333,31.793307,32.980879,13.182042,8.8662802,636.61632
407,61.169232,27.428968,24.591666,12.281115,7.2419037,546.21478
501,57.050099,31.957188,23.653623,13.776052,8.3700122,535.94958
502,48.568655,22.751076,24.942424,9.3927344,NA,540.09966
503,57.142308,30.501954,14.070074,8.5192493,7.2443757,478.46202
504,66.35577,24.735834,19.07037,7.64681,NA,532.24706
505,53.02834,23.302699,14.197138,9.2003616,5.6395333,456.85658
506,57.084088,25.599747,20.8724,9.445452,6.5351515,520.55133
507,48.890429,24.590242,18.960658,9.157446,6.4907164,487.47156
509,60.729708,25.931327,24.247581,12.703298,NA,559.90111
510,84.463169,31.26174,35.983576,NA,NA,735.45525
511,71.193118,27.064508,37.166437,11.939982,NA,640.15363
601,67.307732,35.636397,30.416367,13.902773,7.7940254,593.0476
602,71.045067,36.987054,36.913773,11.274358,9.0551643,617.74401
603,70.254828,25.61041,22.73874,10.701102,8.4772069,564.43141
604,71.738836,35.971871,34.564216,11.763742,8.5531689,639.02024
701,64.581512,27.994528,41.520673,NA,NA,622.11945
702,110.38756,31.473905,63.206143,NA,NA,883.66072
801,49.952486,32.451965,22.693885,7.3063158,10.407233,495.87232
